NAME_1,lon,lat,cases,pop,CPM
甘肃,103.73,36.03,187,264.7,0.706460144
青海,101.74,36.56,18,60.8,0.296052632
四川,104.06,30.67,877,837.5,1.047164179
河北,114.48,38.03,1316,759.2,1.733403583
云南,102.73,25.04,231,485.8,0.475504323
贵州,106.71,26.57,147,362.3,0.405741099
湖北,114.31,30.52,68150,592.7,114.9822845
河南,113.65,34.76,1303,964,1.351659751
山东,117,36.65,867,1007,0.860973188
江苏,118.78,32.04,703,807,0.871127633
安徽,117.27,31.86,994,636.6,1.561420044
浙江,120.19,30.26,1320,585,2.256410256
江西,115.89,28.68,935,466.6,2.003857694
福建,119.3,26.08,548,397.3,1.379310345
广东,113.23,23.16,2157,1152.1,1.872233313
湖南,113,28.21,1033,691.8,1.493206129
海南,110.35,20.02,171,94.5,1.80952381
辽宁,123.38,41.8,404,435.2,0.928308824
吉林,125.35,43.88,573,269.1,2.129319955
黑龙江,126.63,45.75,1609,375.1,4.289522794
山西,112.53,37.87,239,372.9,0.640922499
陕西,108.95,34.27,543,387.6,1.400928793
北京,116.46,39.92,1046,215.4,4.856081708
上海,121.48,31.22,1759,242.8,7.244645799
重庆,106.54,29.59,591,312.4,1.891805378
天津,117.2,39.13,348,156.2,2.227912932
内蒙古,111.65,40.82,367,254,1.44488189
广西,108.33,22.84,267,496,0.538306452
西藏,91.11,29.97,1,35.1,0.028490028
宁夏,106.27,38.47,75,69.5,1.079136691
新疆,87.68,43.77,980,252.3,3.884264764
香港,114.17,22.28,10767,75,143.56
澳门,113.54,22.19,48,6.8,7.058823529
